12:00 ;14:00;16:00 ;16:01 ;18:00;18:01;18:02;18:03;20:00;20:01;22:01;Cetan Number
0;0;66;0;3,5;27,5;3;0;0;0;0;65,3
0;0,1;8,1;1,5;1,2;20,8;67,7;0;0;0;0;41,4
0;0;3,7;0;43,7;52,6;0;0;0;0;0;63,1
0;0;2;0;13,8;45,3;0;0;34,7;4,2;0;64,9
100;0;0;0;0;0;0;0;0;0;0;61,4
0;100;0;0;0;0;0;0;0;0;0;66,2
0;0;100;0;0;0;0;0;0;0;0;74,5
0;0;0;0;100;0;0;0;0;0;0;86,9
0;0;0;0;0;100;0;0;0;0;0;55
0;0;0;100;0;0;0;0;0;0;0;51
0;0;0;0;0;0;100;0;0;0;0;42,2
0;0;0;0;0;0;0;0;0;0;100;76
0;0;0;0;0;0;0;0;0;100;0;64,8
0;0,1;10,5;0,1;3,7;23,2;48,9;1,2;0;0,3;0,1;47,2
0,1;2,1;23,9;2,8;19,5;38,5;6,4;0,3;0;0,5;0,1;61,7
0;0;15,6;0;10,5;60,9;5,2;7,4;0;0;0;57,5
0;0;9,1;2,1;2,7;79,4;0,7;0,2;0;0;0;56,7
0;0;10,6;0;6,8;49,4;19;0;0;2,4;0;55,8
0;3,5;35,1;1,9;4,5;53,3;0;0;0;0;0;61,2
0;0;7,2;0;14,4;35,3;40,4;0;0;0;0;50,3
0;0;5,5;0;6,7;10,5;48,5;28,5;0;0;0;34,2
2,8;5,5;9,9;0;1,1;15,8;22,1;42,7;0;0;0;34,2
0;0;0,7;0;46,4;49,5;0,9;0;0;0;0;63,5
0;0;0,4;0;0,4;12;18;62;0;0;0;25,5
87,9;1,9;0,5;0;5,4;0;0;0;0;0;0;63,2
96,3;0;0;0;0;2,3;0;0;0;0;0;64,8
85,9;3,8;0;0;0;4;3,3;0;0;0;0;64
19,6;54,5;19,6;0;0;5,4;0;0;0;0;0;67,5
0;3,2;3,1;0;2,6;88;2,9;0;0;0;0;54,5
0;4,4;0;0;7,9;63,2;24,4;0;0;0;0;50,7
0;39,2;13,3;0;2,4;44,1;1;0;0;0;0;61,8
0;0,1;5,2;0,2;2,5;58,1;28,1;0,4;0;1,6;0,4;55
0,1;1,9;24,5;2,8;14,4;38,3;13,4;0,3;0;0,7;0,1;63,6
0;1,1;17,3;2,2;9,5;45,3;14,5;1,3;0;1,3;0;52,9
0;0;5;0;2;20;18;55;0;0;0;52
0;0,1;2,6;0,2;0,9;7,8;14,2;13;0;5,4;45,7;61,1
0;1;39;0,2;4,3;43,7;10,5;0,2;0;0,2;0;60,4
