Volume de poro (cm³/g);Área BET média (m²/g);Diâmetro Cinético (A);Massa molar [mol/g];T [K];P [kPa];Q [mmol/g]
0.67;1863;3.69;28.01;350;1.796;0.038167939
0.67;1863;3.69;28.01;350;1.527;0.221374046
0.67;1863;3.69;28.01;350;2.605;0.312977099
0.67;1863;3.69;28.01;350;4.671;0.496183206
0.67;1863;3.69;28.01;350;7.994;0.885496183
0.67;1863;3.69;28.01;350;1.329;1.366412214
0.67;1863;3.69;28.01;350;1.877;1.755725191
0.67;1863;3.69;28.01;350;2.587;2.282442748
0.67;1863;3.69;28.01;314;1.168;0.221374046
0.67;1863;3.69;28.01;314;2.695;0.496183206
0.67;1863;3.69;28.01;314;4.671;0.86259542
0.67;1863;3.69;28.01;314;7.994;1.320610687
0.67;1863;3.69;28.01;314;1.320;2.099236641
0.67;1863;3.69;28.01;314;1.850;2.694656489
0.67;1863;3.69;28.01;314;2.614;3.404580153
0.67;1863;3.69;28.01;294;1.527;0.358778626
0.67;1863;3.69;28.01;294;2.605;0.65648855
0.67;1863;3.69;28.01;294;4.581;1.06870229
0.67;1863;3.69;28.01;294;7.994;1.755725191
0.67;1863;3.69;28.01;294;1.311;2.694656489
0.67;1863;3.69;28.01;294;1.877;3.541984733
0.67;1863;3.69;28.01;294;2.605;4.41221374
